Season,Team,Lg,Salary
1996-97,Portland Trail Blazers,NBA,"$827,000"
1997-98,Portland Trail Blazers,NBA,"$950,640"
1998-99,Portland Trail Blazers,NBA,"$1,075,000"
1999-00,Portland Trail Blazers,NBA,"$5,075,000"
2000-01,Indiana Pacers,NBA,"$5,710,000"
2001-02,Indiana Pacers,NBA,"$6,325,000"
2002-03,Indiana Pacers,NBA,"$6,900,000"
2003-04,Indiana Pacers,NBA,"$13,152,000"
2004-05,Indiana Pacers,NBA,"$14,796,000"
2005-06,Indiana Pacers,NBA,"$16,440,000"
2006-07,Indiana Pacers,NBA,"$18,084,000"
2007-08,Indiana Pacers,NBA,"$19,728,000"
2008-09,Miami Heat,NBA,"$21,372,000"
2009-10,Miami Heat,NBA,"$23,016,000"
2010-11,Boston Celtics,NBA,"$5,765,000"
2011-12,Boston Celtics,NBA,"$6,226,200"
2012-13,Phoenix Suns,NBA,"$1,352,181"
2013-14,Golden State Warriors,NBA,"$2,000,000"
Career,(may be incomplete),,"$168,794,021"
