Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Wah Wah Jones,,5.9,2.1,0.8,NA,NA,NA,NA,NA,NA
Dick Mehen,92.6,5.6,1.9,0.6,NA,NA,NA,NA,NA,NA
Kevon Looney,85.0,6,2.8,1.4,0.1,NA,NA,NA,NA,NA
Vern Gardner,84.7,5.9,1.6,-0.1,NA,NA,NA,NA,NA,NA
Dario Šarić,76.3,6.6,3.5,1,NA,NA,NA,NA,NA,NA
Don May,76.2,6.1,2.9,1.3,0.5,0.3,0.2,0,NA,NA
Don MacLean,73.3,5.6,1.5,1.1,0.5,0.4,0.2,0.2,0,-0.2
Irv Torgoff,71.3,5.4,1,0.1,NA,NA,NA,NA,NA,NA
Landry Fields,70.8,5.3,3.4,1.1,0.4,0.3,NA,NA,NA,NA
Andy Johnson,70.7,4.6,1.8,1.3,0.3,NA,NA,NA,NA,NA
Tony Jaros,69.5,4.4,2.2,1.3,0.6,NA,NA,NA,NA,NA
