Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Salim Stoudamire,,1.2,0.8,0.3,NA,NA
Mike D'Antoni,89.6,1,0.8,0.3,0,NA
Vonteego Cummings,83.8,1.3,0.6,0.2,NA,NA
Nick Jones,82.5,1.3,0.7,0.2,0,-0.2
Phil Rollins,82.3,1.1,0.7,0.1,NA,NA
Brooks Thompson,81.3,1.1,0.6,0.2,0.1,NA
Byron Irvin,79.5,1.2,0.9,0,NA,NA
Mike Flynn,75.9,1.7,0.8,0.3,NA,NA
Dante Exum,74.6,1.2,1,0.7,-0.1,NA
Terence Stansbury,74.0,1.5,0.6,0.3,NA,NA
Sean Kilpatrick,73.3,1.4,1,0.1,0.1,NA
