Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DeMarcus Cousins,,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1,NA,NA,NA,NA,NA
Emeka Okafor,91.7,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1,NA,NA,NA,NA
Red Rocha,90.2,7.8,7.2,7,6.5,5.1,5,4.6,3.6,1,NA,NA,NA,NA,NA
Darryl Dawkins,89.2,7.9,6.4,6.3,5.7,4.6,4.4,4,2.9,2.1,2.1,0.1,0.1,0,-0.2
Jim Fox,86.8,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,NA,NA,NA,NA
Sam Lacey,86.4,7.7,7.4,6.5,5.6,5.6,5,4.3,4,2.7,1.2,0.6,0.3,-0.1,NA
Chuck Share,85.5,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA,NA,NA,NA,NA
Nikola Vučević,85.2,10.1,7,5.7,5.2,4.4,4,3.6,1.8,NA,NA,NA,NA,NA,NA
Enes Kanter,85.1,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA,NA,NA,NA,NA
Ray Felix,84.3,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8,NA,NA,NA,NA,NA
Greg Monroe,84.2,7.5,7,6.8,6.6,5.9,5.9,5.6,3.4,1.1,NA,NA,NA,NA,NA
