,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2003-04,23,ORL,NBA,SF,73,1787,,26%,74%,,,-9.8,-3.5,41,21,58,8,42,0,210,9,32
2004-05,24,CHA,NBA,SG,74,1791,7%,89%,4%,,,-6.5,-0.2,63,32,58,13,84,0,282,23,57
2005-06,25,TOT,NBA,SG-SF,72,1912,,46%,54%,,,-5.3,-3.0,47,23,60,11,77,24,274,18,45
2005-06,25,CHA,NBA,SG,39,848,,91%,9%,,,-8.5,-5.2,22,9,27,6,42,13,97,9,23
2005-06,25,HOU,NBA,SF,33,1064,,10%,90%,1%,,-2.5,-1.4,25,14,33,5,35,11,177,9,22
2006-07,26,ORL,NBA,SG,59,990,,64%,35%,,,+3.1,+2.7,24,6,41,5,23,8,124,2,13
2007-08,27,ORL,NBA,SG,82,2198,,93%,7%,,,+7.2,+3.0,32,11,83,3,43,17,241,9,25
2008-09,28,TOT,NBA,SG,65,1272,,60%,40%,1%,,+3.5,+0.3,22,11,41,4,23,14,154,0,16
2008-09,28,ORL,NBA,SG,36,787,,77%,23%,,,+7.7,-0.2,10,4,21,3,10,7,76,0,10
2008-09,28,MIL,NBA,SG,29,485,,31%,67%,3%,,-3.2,-2.2,12,7,20,1,13,7,78,0,6
2009-10,29,SAS,NBA,SF,79,1559,,39%,53%,8%,,+2.8,-4.8,28,10,68,7,18,22,212,2,26
2010-11,30,CHI,NBA,SG,82,1461,,100%,,,,+6.2,-3.1,26,8,48,4,13,10,220,0,8
2011-12,31,NJN,NBA,SF,5,94,,8%,90%,1%,,-22.2,-16.0,2,1,7,0,4,1,6,3,0
2012-13,32,BRK,NBA,SG,74,1408,,74%,26%,,,+0.2,-2.7,36,7,50,3,7,9,171,5,1
2013-14,33,BOS,NBA,SG,6,55,,50%,50%,,,-4.7,+0.4,0,0,0,1,0,1,7,0,1
Career,,,NBA,,671,14527,1%,65%,33%,1%,,-0.3,-1.4,321,130,514,59,334,106,1901,71,224
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ORL,NBA,,250,5762,,65%,35%,,,+1.3,+0.5,107,42,203,19,118,32,651,20,80
2 seasons,,CHA,NBA,,113,2639,5%,90%,5%,,,-7.1,-1.8,85,41,85,19,126,13,379,32,80
1 season,,CHI,NBA,,82,1461,,100%,,,,+6.2,-3.1,26,8,48,4,13,10,220,0,8
2 seasons,,"NJN,BRK",NBA,,79,1502,,70%,30%,,,-1.2,-3.5,38,8,57,3,11,10,177,8,1
1 season,,SAS,NBA,,79,1559,,39%,53%,8%,,+2.8,-4.8,28,10,68,7,18,22,212,2,26
1 season,,HOU,NBA,,33,1064,,10%,90%,1%,,-2.5,-1.4,25,14,33,5,35,11,177,9,22
1 season,,MIL,NBA,,29,485,,31%,67%,3%,,-3.2,-2.2,12,7,20,1,13,7,78,0,6
1 season,,BOS,NBA,,6,55,,50%,50%,,,-4.7,+0.4,0,0,0,1,0,1,7,0,1
