Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Eric Murdock,,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1
Andrew Toney,88.8,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA
Jeff McInnis,85.1,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1
Larry Brown,84.6,6.6,5.8,5.1,5,2.4,NA,NA,NA,NA
Anthony Parker,84.3,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0
Dick Garmaker,84.1,7.5,4.7,4.6,4.4,3.1,1.3,NA,NA,NA
Mahmoud Abdul-Rauf,83.4,6.8,5.5,5.1,5,2.7,0.7,0.6,-0.3,-1
Josh Childress,83.0,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA
Mike James,82.5,7.6,5.2,4.3,2.8,1.8,0.3,0,-0.1,-0.1
Scott Skiles,82.3,8,7,4.5,4.4,3.2,2,1.3,0.3,-0.2
Delonte West,82.1,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA
