Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Scott Roth,,0.7,0.3,0.1,NA,NA
Jamie Watson,94.6,0.8,0.3,0.1,0,NA
Michael Smith,77.5,0.7,0.3,0.3,NA,NA
Christian Wood,77.1,0.8,0.3,0.3,NA,NA
Jackie Moore,76.8,0.9,0.5,NA,NA,NA
Bob Peterson,75.1,0.9,0.4,0.2,NA,NA
Kenny Dennard,74.1,1.1,0.3,0.1,NA,NA
Alex Poythress,72.9,0.5,0.3,0.1,NA,NA
Jim Tucker,72.7,1,0.3,0,NA,NA
Mel Bennett,72.0,0.7,0.3,0.1,-0.1,-0.1
Josh Davis,70.8,0.5,0.3,0,0,NA
