Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Randy White,,0.8,0.7,0.4,0.2,-0.2
Eddie Lee Wilkins,81.5,0.8,0.8,0.3,0.3,-0.1
Mark Hendrickson,78.9,0.9,0.8,0.3,0.1,NA
Cartier Martin,70.2,0.8,0.7,0.7,0.4,0.1
Antonio Lang,69.8,0.8,0.7,0.1,0.1,-0.1
Josh Powell,69.0,1.1,0.7,0.6,0.3,0
Greg Foster,68.0,1,0.6,0.5,0.2,0
Obinna Ekezie,67.5,0.7,0.5,0.4,0.2,NA
Jerome Lane,66.6,1.2,0.6,0.5,0.1,-0.2
Hank McDowell,66.6,0.7,0.4,0.4,0.2,0.1
Timothé Luwawu-Cabarrot,64.5,0.8,0.8,0.2,NA,NA
