Season,Team,Lg,Salary
1991-92,New Jersey Nets,NBA,"$1,828,000"
1992-93,New Jersey Nets,NBA,"$2,376,000"
1993-94,New Jersey Nets,NBA,"$2,925,000"
1994-95,New Jersey Nets,NBA,"$3,463,200"
1995-96,New Jersey Nets,NBA,"$3,898,000"
1996-97,Portland Trail Blazers,NBA,"$4,175,000"
1997-98,Portland Trail Blazers,NBA,"$5,010,000"
1998-99,Boston Celtics,NBA,"$5,845,000"
1999-00,Boston Celtics,NBA,"$6,680,000"
2000-01,Boston Celtics,NBA,"$7,520,000"
2001-02,Boston Celtics,NBA,"$8,350,000"
2002-03,Seattle SuperSonics,NBA,"$9,185,000"
2003-04,Indiana Pacers,NBA,"$1,070,000"
2004-05,Atlanta Hawks,NBA,"$1,100,000"
Career,(may be incomplete),,"$63,425,200"
