Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Tom Henderson,,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,NA,NA,NA
Greg Buckner,89.6,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1,NA,NA
Bill Hanzlik,87.3,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1,0.7,NA,NA
Keith Bogans,87.1,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0,NA
Blue Edwards,86.9,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1,NA,NA
Randy Foye,86.7,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1,0.4,0.2,NA
Danny Young,86.5,4.8,3,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1,NA,NA
Howard Eisley,86.2,4.5,4.4,3,2.9,1.7,1.3,1.2,1,0.3,0,-0.3,-0.5
Isaiah Rider,85.7,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2,NA,NA,NA
Carlos Arroyo,85.5,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA,NA
Ernie Grunfeld,85.4,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,NA,NA,NA
