Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Tom Henderson,,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4
Bill Hanzlik,91.3,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1,0.7
Greg Buckner,89.0,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.1
Randy Foye,88.2,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1
Scott Brooks,86.3,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,0.7
Blue Edwards,86.0,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,-0.1
Isaiah Rider,85.7,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2
Danny Young,85.6,4.8,3,2.9,2.4,1.9,1.8,1.8,1.4,-0.1
Carlos Arroyo,85.5,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3
Ernie Grunfeld,85.4,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4
Maurice Evans,84.7,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1
