,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,25,NYK,BAA,,12,,4,5,,,,26
1947-48,26,NYK,BAA,,8,,5,7,,0,,21
1948-49,27,NYK,BAA,,8,,7,8,,,6,20
Career,,,,,12,,7,8,,,,26
