Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bud Palmer,,7.4,7.2,3.9,NA,NA,NA
Leo Mogus,83.9,8,7.7,5,1.2,NA,NA
Clark Kellogg,81.0,7,6.8,6.1,0.9,0.1,NA
Howie Dallmar,80.7,7,5.9,2.2,NA,NA,NA
Bones McKinney,79.8,7.1,4.9,3.3,0.2,0,-0.2
Julius Randle,79.2,6.6,6.1,3.5,1.6,-0.1,NA
Montrezl Harrell,79.0,8.7,5.5,4.1,0.9,NA,NA
Maurice Stokes,78.7,6,5.5,4.5,NA,NA,NA
Willie Murrell,77.8,7,4.6,3.1,NA,NA,NA
Dwight Powell,77.7,7.5,6.6,4.6,3.1,0.6,NA
Johnny Norlander,75.8,9.7,5.8,4.2,0.6,0.2,NA
