Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Alexey Shved,,2.2,0.8,0.2,NA,NA
Trajan Langdon,86.5,2,0.6,0.3,NA,NA
Win Wilfong,84.9,2.1,0.6,0.2,-0.3,NA
Bubbles Hawkins,82.8,1.9,0.6,0.3,0.1,NA
Jerry Eaves,82.3,2,0.7,0,-0.1,NA
Kedrick Brown,81.5,2,0.5,0.4,0.1,NA
Danuel House,81.3,2.3,0.6,0,NA,NA
Kevin O'Shea,80.8,2.1,1.2,0.5,NA,NA
Mike Flynn,80.7,1.7,0.8,0.3,NA,NA
Chink Crossin,80.2,2.1,1.2,0.5,NA,NA
Lloyd Daniels,77.5,1.8,1.1,0.2,0.1,0
