Season,Team,Lg,Salary
2012-13,Minnesota Timberwolves,NBA,"$2,934,610"
2013-14,Minnesota Timberwolves,NBA,"$3,150,000"
2014-15,New York Knicks,NBA,"$3,282,056"
Career,(may be incomplete),,"$9,366,666"
