Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Tom Hammonds,,2.6,2.4,2.2,1.8,1.7,1,0.8,0.8,0.6,0.5,0.5,-0.1,NA
Earl Cureton,87.0,2.7,2.6,2.1,2,1.5,1.2,1,0.8,0.7,0,0,-0.1,NA
Tony Massenburg,84.2,2.8,2.2,1.8,1.7,1.5,1.3,1.1,1,0.9,0.7,0.4,0.2,-0.1
Jud Buechler,83.5,2.9,2.3,1.9,1.8,1.5,1.5,1.2,1.2,0.8,0.5,0.5,0.4,NA
Jason Smith,81.0,2.3,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7,0.2,0,NA,NA
Robert Traylor,80.9,2.5,2.5,2.4,1.9,1.8,1.2,1,NA,NA,NA,NA,NA,NA
Corie Blount,80.7,3.1,2.6,2.5,1.9,1.8,1.7,1.2,1.1,0.9,0.8,0.7,NA,NA
Jared Jeffries,78.9,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3,NA,NA
Brad Lohaus,78.0,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1,NA,NA
Steve Kuberski,77.1,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0,NA,NA,NA,NA
Damien Wilkins,77.0,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0,-0.1,NA,NA,NA
