Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Daniel Orton,,0.5,0.3,0.3,NA,NA
Olumide Oyedeji,80.0,0.4,0.4,0.3,NA,NA
Dave Feitl,74.0,0.5,0.4,0.3,0.2,0.1
Alan Ogg,72.7,0.5,0.3,0,NA,NA
Shawnelle Scott,70.4,0.5,0.4,0.2,0.2,NA
Kyrylo Fesenko,64.2,0.6,0.3,0.1,0,-0.1
Jabari Smith,63.2,0.7,0.5,0.2,0,NA
Hamed Haddadi,61.0,0.6,0.6,0.4,0.1,0
George Zídek,59.1,0.6,0.3,0,NA,NA
Chris Welp,54.7,0.7,0.3,0,NA,NA
Matt Fish,50.3,0.4,0.2,0,NA,NA
