Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Dennis Hopson,,3.1,2.1,1.7,0.5,-0.3,NA,NA,NA
Mike Butler,86.3,3.1,2.3,1.6,0.1,NA,NA,NA,NA
Yogi Ferrell,84.7,3,1.9,1.8,NA,NA,NA,NA,NA
Norman Powell,84.6,2.8,2.4,1.6,0.6,NA,NA,NA,NA
Jerian Grant,84.4,3.3,2.5,1.7,0.8,NA,NA,NA,NA
Greg Minor,84.4,3,2.1,1.7,0.8,0.6,NA,NA,NA
Tyus Edney,81.2,3.3,1.5,1.4,0.5,NA,NA,NA,NA
Freddie Crawford,80.3,2.7,2.2,1.6,-0.2,-0.3,NA,NA,NA
Quinton Ross,77.7,3.2,1.7,1.6,0.7,0.6,0,-0.1,NA
Anthony Goldwire,77.0,3,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Shabazz Napier,76.6,3.2,2,0.6,0.5,0.1,NA,NA,NA
