Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dennis Hopson,,3.1,2.1,1.7,0.5,-0.3
C.J. Miles,87.3,2.9,1.9,1.9,0.3,-0.5
J.J. Barea,86.5,3.2,2.2,2.2,0.5,0.1
Mike Butler,86.3,3.1,2.3,1.6,0.1,NA
Rick Adelman,85.4,3.4,2.2,1.6,0.7,0.1
Yogi Ferrell,84.7,3,1.9,1.8,NA,NA
Norman Powell,84.6,2.8,2.4,1.6,0.6,NA
Malik Sealy,84.6,3.2,2.1,1.2,0.6,0.2
Jerian Grant,84.4,3.3,2.5,1.7,0.8,NA
Greg Minor,84.4,3,2.1,1.7,0.8,0.6
Avery Bradley,81.3,2.5,2.4,1.8,0.4,-0.5
