Season,Team,Lg,Salary
1987-88,New Jersey Nets,NBA,"$400,850"
1988-89,New Jersey Nets,NBA,"$717,500"
1990-91,Chicago Bulls,NBA,"$915,000"
1991-92,Sacramento Kings,NBA,"$950,000"
Career,(may be incomplete),,"$2,983,350"
