Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jake Tsakalidis,,2.8,2.8,1.3,1.2,0.9,0.6,0.3
Steven Hunter,84.1,2.8,2.6,2.5,1,0.9,0.6,0.1
Hub Reed,82.4,2.8,2,1.7,1.3,1,0.6,0
Cole Aldrich,82.3,3.5,2.2,1.3,1.2,0.6,0.6,0.2
Bill Wennington,81.8,3.5,2.1,1.3,1.2,0.9,0.5,0.4
Salah Mejri,79.6,3,2.7,1.3,1.1,NA,NA,NA
Mikki Moore,78.5,2.8,2.6,2.2,1,0.6,0.1,0.1
Ekpe Udoh,77.8,3.2,2.7,2.1,1.6,0.7,0.3,0
Michael Doleac,75.6,3,2.2,1.9,1.7,1.5,0.3,0.3
Jim Krebs,75.5,4.2,2.8,1.5,1.3,1.3,1.2,0.1
Jake Voskuhl,75.5,3.3,2.7,2.5,1.7,1,0.6,0
