,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,21,PHO,NBA,C,57,947,.470,4.8,1.000,.470,.353,.102,.074,.000,.470,.644,.355,.182,.313,,.663,.158,28,,,,0,0
2001-02,22,PHO,NBA,C,67,1582,.475,4.3,.998,.528,.323,.105,.043,.003,.476,.621,.364,.167,.294,.000,.695,.155,57,,.000,,0,0
2002-03,23,PHO,NBA,C,33,543,.452,4.1,1.000,.511,.356,.089,.044,.000,.452,.522,.354,.417,.500,,.738,.141,17,,,,0,0
2003-04,24,MEM,NBA,C,40,533,.504,5.8,1.000,.459,.301,.090,.150,.000,.504,.639,.425,.250,.400,,.776,.188,22,,,,0,0
2004-05,25,MEM,NBA,C,31,278,.500,6.1,1.000,.484,.281,.063,.172,.000,.500,.548,.556,.250,.364,,.750,.156,8,,,,0,0
2005-06,26,MEM,NBA,C,51,732,.606,3.2,1.000,.679,.194,.061,.067,.000,.606,.679,.438,.400,.545,,.650,.170,21,,,,0,0
2006-07,27,TOT,NBA,C,36,390,.403,4.1,1.000,.597,.236,.083,.083,.000,.403,.512,.118,.500,.333,,.759,.042,3,,,,0,0
2006-07,27,MEM,NBA,C,23,258,.400,4.4,1.000,.560,.260,.100,.080,.000,.400,.571,.077,.600,.000,,.800,.040,2,,,,0,0
2006-07,27,HOU,NBA,C,13,132,.409,3.5,1.000,.682,.182,.045,.091,.000,.409,.400,.250,.000,1.000,,.667,.045,1,,,,0,0
Career,,,NBA,,315,5005,.490,4.5,.999,.530,.304,.091,.073,.001,.490,.615,.372,.250,.379,.000,.702,.153,156,,.000,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHO,NBA,,157,3072,.469,4.4,.999,.508,.337,.101,.052,.001,.470,.609,.360,.211,.333,.000,.693,.153,102,,.000,,0,0
4 seasons,,MEM,NBA,,145,1801,.532,4.6,1.000,.563,.250,.075,.112,.000,.532,.638,.408,.355,.391,,.717,.158,53,,,,0,0
1 season,,HOU,NBA,,13,132,.409,3.5,1.000,.682,.182,.045,.091,.000,.409,.400,.250,.000,1.000,,.667,.045,1,,,,0,0
