Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2000-01,21,PHO,NBA,C,57,39,947,5.5,11.7,0.47,0,0,NA,5.5,11.7,0.47,2.9,5,0.593,4.5,8.7,13.2,1,0.5,3,3.6,7.5,13.9,NA,92,98
2001-02,22,PHO,NBA,C,67,47,1582,6.3,13.3,0.475,0,0,0,6.3,13.2,0.476,3.7,5.3,0.698,4.3,8.1,12.4,0.8,0.8,2.3,2.6,6.4,16.3,NA,103,104
2002-03,23,PHO,NBA,C,33,27,543,5.9,13,0.452,0,0,NA,5.9,13,0.452,3.8,5.6,0.672,4.3,7.4,11.8,1.3,0.6,1.6,2.5,7.7,15.5,NA,102,104
2003-04,24,MEM,NBA,C,40,28,533,6.6,13.1,0.504,0,0,NA,6.6,13.1,0.504,3.5,6,0.59,3.6,9,12.6,1.8,0.9,2.2,2.3,7.8,16.8,NA,106,102
2004-05,25,MEM,NBA,C,31,1,278,6.2,12.5,0.5,0,0,NA,6.2,12.5,0.5,2.7,3.5,0.778,4.1,6.8,10.9,2,0.6,3.1,2.3,8.2,15.2,NA,108,104
2005-06,26,MEM,NBA,C,51,19,732,7.6,12.5,0.606,0,0,NA,7.6,12.5,0.606,4.3,6.6,0.655,5.9,10.2,16.1,1,1.1,2.4,3,8.1,19.5,NA,118,99
2006-07,27,TOT,NBA,C,36,7,390,3.9,9.6,0.403,0,0,NA,3.9,9.6,0.403,3.5,5.2,0.667,5.6,8.2,13.8,0.7,1.1,1.6,3.2,6.8,11.2,NA,95,108
2006-07,27,MEM,NBA,C,23,7,258,4,9.9,0.4,0,0,NA,4,9.9,0.4,2.8,4.8,0.583,4.8,8,12.7,0.4,1.4,2.2,4.2,6.8,10.7,NA,82,110
2006-07,27,HOU,NBA,C,13,0,132,3.6,8.8,0.409,0,0,NA,3.6,8.8,0.409,4.8,6,0.8,7.2,8.8,16,1.2,0.4,0.4,1.2,6.8,12,NA,124,103
Career,NA,,NBA,,315,168,5005,6.1,12.5,0.49,0,0,0,6.1,12.5,0.49,3.6,5.4,0.657,4.6,8.5,13.1,1.1,0.8,2.4,2.8,7.3,15.8,NA,103,102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,PHO,NBA,,157,113,3072,6,12.7,0.469,0,0,0,6,12.7,0.47,3.5,5.2,0.662,4.4,8.2,12.5,0.9,0.7,2.4,2.9,7,15.4,NA,99,102
4 seasons,NA,MEM,NBA,,145,55,1801,6.5,12.3,0.532,0,0,NA,6.5,12.3,0.532,3.6,5.7,0.637,4.8,9,13.7,1.3,1,2.4,2.8,7.8,16.7,NA,108,102
1 season,NA,HOU,NBA,,13,0,132,3.6,8.8,0.409,0,0,NA,3.6,8.8,0.409,4.8,6,0.8,7.2,8.8,16,1.2,0.4,0.4,1.2,6.8,12,NA,124,103
