Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jake Tsakalidis,,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA,NA
Steven Hunter,83.7,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1,NA
Hub Reed,82.4,2.8,2,1.7,1.3,1,0.6,0,NA,NA
Cole Aldrich,82.1,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0,NA
Francisco Elson,79.6,3.1,2.9,1.8,1.8,1.6,0.6,0,0,0
Salah Mejri,79.6,3,2.7,1.3,1.1,NA,NA,NA,NA,NA
Ekpe Udoh,77.8,3.2,2.7,2.1,1.6,0.7,0.3,0,NA,NA
Jim Krebs,75.5,4.2,2.8,1.5,1.3,1.3,1.2,0.1,NA,NA
Jim McIlvaine,75.1,3,1.9,1.8,1.5,0.8,0.3,0.1,NA,NA
Jake Voskuhl,74.9,3.3,2.7,2.5,1.7,1,0.6,0.2,0,-0.3
Željko Rebrača,74.2,3.3,2.4,1.3,0.7,0.5,NA,NA,NA,NA
