Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mark Madsen,,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3
Marty Conlon,83.2,3.1,1.8,1.4,1,0.8,0.6,0.3,0,-0.1
Jeremy Evans,80.9,2.8,1.6,1.3,0.9,0.9,0.6,0,NA,NA
Jarvis Hayes,80.6,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA
Jeff Turner,79.4,3.1,1.4,1.2,1.2,1.1,0.8,0.6,-0.2,-0.2
Charles Shackleford,77.3,2.7,1.5,0.9,0.8,0.8,0.7,NA,NA,NA
Quincy Acy,77.1,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA
McCoy McLemore,77.1,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3,NA
Richard Anderson,77.0,2.3,2.1,1.3,1,0.5,0.5,NA,NA,NA
Scott Hastings,75.7,2.1,1.5,1.3,1,0.8,0.5,0.4,0.3,0.1
Wesley Johnson,75.7,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0
