Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Mark Madsen,,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3,NA
Marty Conlon,83.2,3.1,1.8,1.4,1,0.8,0.6,0.3,0,-0.1,NA
Jeremy Evans,80.9,2.8,1.6,1.3,0.9,0.9,0.6,0,NA,NA,NA
Jarvis Hayes,80.6,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA,NA
Charles Shackleford,77.3,2.7,1.5,0.9,0.8,0.8,0.7,NA,NA,NA,NA
Quincy Acy,77.1,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA,NA
McCoy McLemore,77.1,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3,NA,NA
Jeff Turner,77.1,3.1,1.4,1.2,1.2,1.1,0.8,0.6,-0.1,-0.2,-0.2
Richard Anderson,77.0,2.3,2.1,1.3,1,0.5,0.5,NA,NA,NA,NA
Wesley Johnson,75.7,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0,NA
Jason Kapono,74.9,4.2,1.9,1.3,1.2,0.8,0.5,0.5,0.1,-0.2,NA
