Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Randy Wittman,,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0
Ron Brewer,92.9,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA
Will Barton,91.1,6.2,4.3,3.3,1.3,1.2,0.6,-0.5,NA,NA
Scott Burrell,89.1,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA
Luther Head,85.2,5.7,3.5,3.5,0.9,0.6,0.6,NA,NA,NA
Mitchell Wiggins,84.2,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA
Kenny Sailors,83.6,5.2,4.9,3.7,1.7,1.6,NA,NA,NA,NA
Anthony Johnson,83.5,4.5,4,3.6,1.8,1.1,0.7,0.4,0.3,-0.2
Frank Selvy,83.5,5.5,4.1,3.6,2.4,2.3,0.6,0,-0.6,NA
Dean Meminger,83.0,5,4.4,3.9,2.2,1,0.2,NA,NA,NA
Tyler Johnson,82.7,5.8,4.2,2.3,2,0.8,NA,NA,NA,NA
