Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,24,TOT,NBA,SG,61,NA,NA,NA,NA,0.299,NA,NA,0.673,NA,NA,NA,NA
1949-50,24,TRI,NBA,SG,26,NA,NA,NA,NA,0.307,NA,NA,0.678,NA,NA,NA,NA
1949-50,24,AND,NBA,SG,35,NA,NA,NA,NA,0.291,NA,NA,0.667,NA,NA,NA,NA
1951-52,26,TOT,NBA,SG,29,NA,626,4.8,14.5,0.329,3.7,6.6,0.561,5.9,3.7,5.3,13.2
1951-52,26,BLB,NBA,SG,19,NA,341,5.8,17,0.342,4.2,7.9,0.533,7.5,3.4,5.4,15.8
1951-52,26,MLH,NBA,SG,10,NA,285,3.5,11.5,0.308,3,4.9,0.615,3.9,4,5.2,10.1
Career,NA,,NBA,,90,NA,626,4.8,14.5,0.313,3.7,6.6,0.614,5.9,3.7,5.3,13.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"TRI,MLH",NBA,,36,NA,285,3.5,11.5,0.307,3,4.9,0.653,3.9,4,5.2,10.1
1 season,NA,AND,NBA,,35,NA,NA,NA,NA,0.291,NA,NA,0.667,NA,NA,NA,NA
1 season,NA,BLB,NBA,,19,NA,341,5.8,17,0.342,4.2,7.9,0.533,7.5,3.4,5.4,15.8
