Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Awvee Storey,,0.2,0.1,0,NA,NA
Mike Price,65.4,0.2,0.2,0.1,NA,NA
Jarell Eddie,61.3,0.1,0.1,0,NA,NA
Jared Cunningham,57.7,0.1,0.1,0,0,NA
Ira Bowman,52.9,0.1,0.1,0,NA,NA
Jimmy Oliver,51.0,0.2,0.2,0,0,-0.1
Dwight Buycks,50.9,0.2,0.1,0,NA,NA
R.J. Hunter,50.6,0.3,0.1,0,0,NA
Demetrius Jackson,43.5,0.2,0.1,-0.1,NA,NA
Dominique Jones,42.2,0.2,0,0,NA,NA
Gerald Madkins,39.5,0.3,0.1,0,NA,NA
