,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1966-67,25,NYK,NBA,,8,,4,6,,,,18
1967-68,26,TOT,NBA,,10,,7,11,,,,22
1967-68,26,NYK,NBA,,8,,4,4,,,,18
1967-68,26,LAL,NBA,,10,21,7,11,7,7,6,22
1968-69,27,LAL,NBA,,11,,8,10,,,,24
1969-70,28,MIL,NBA,,12,,5,7,,,,29
1970-71,29,TOT,NBA,,7,,6,7,,,,18
1970-71,29,BUF,NBA,,7,,6,7,,,,18
1970-71,29,PHI,NBA,,5,,4,6,,,,12
Career,,,,,12,,8,11,,,,29
2 Seasons,,LAL,NBA,,11,,8,11,,,,24
1 Season,,MIL,NBA,,12,,5,7,,,,29
2 Seasons,,NYK,NBA,,8,,4,6,,,,18
1 Season,,PHI,NBA,,5,,4,6,,,,12
1 Season,,BUF,NBA,,7,,6,7,,,,18
