Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Freddie Crawford,,2.7,2.2,1.6,-0.2,-0.3
Dick Garrett,88.2,2.4,2.3,1.6,0.1,-0.2
Kevin Edwards,86.3,2.5,2.4,1.6,0.3,-0.2
Mike Butler,84.7,3.1,2.3,1.6,0.1,NA
Norman Powell,83.3,2.8,2.4,1.6,0.6,NA
Casey Jacobsen,83.1,2.7,2.6,1.2,-0.3,NA
Yogi Ferrell,82.0,3,1.9,1.8,NA,NA
Avery Bradley,80.5,2.5,2.4,1.8,0.4,-0.5
Louie Nelson,80.4,2.9,2.3,1.1,0,0
Dennis Hopson,80.3,3.1,2.1,1.7,0.5,-0.3
Chris Whitney,79.3,3.2,2.7,1.3,-0.2,-0.3
