,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1966-67,25,NYK,NBA,,11,,4,7,,,,26
1967-68,26,TOT,NBA,,5,,6,11,,,,14
1967-68,26,LAL,NBA,,5,,6,11,,,,14
1968-69,27,LAL,NBA,,1,2,0,1,1,2,2,2
1969-70,28,MIL,NBA,,6,,6,7,,,,18
1970-71,29,TOT,NBA,,2,4,3,4,0,1,1,7
1970-71,29,PHI,NBA,,2,4,3,4,0,1,1,7
Career,,,,,11,,6,11,,,,26
2 Seasons,,LAL,NBA,,5,,6,11,,,,14
1 Season,,MIL,NBA,,6,,6,7,,,,18
1 Season,,NYK,NBA,,11,,4,7,,,,26
1 Season,,PHI,NBA,,2,4,3,4,0,1,1,7
