Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Trenton Hassell,,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,NA
Bob Hansen,89.9,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,NA
Charlie Criss,88.3,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA,NA
Elfrid Payton,86.1,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA,NA
Tony Snell,85.9,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA,NA
Toney Douglas,84.7,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6,NA,NA
Daniel Gibson,84.7,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA,NA
Quintin Dailey,84.3,3.7,2.6,2.1,2,1.3,1,0.3,0.1,-0.3,-0.3
Avery Bradley,83.6,4.8,3.1,2.5,2.4,1.8,0.4,0.3,-0.2,-0.5,NA
E'Twaun Moore,83.0,4.4,2.7,1.8,1.7,1.7,0.8,0.2,0.2,NA,NA
Tim Hardaway,82.9,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA,NA
