Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,24,TRH,BAA,,60,,,3.9,14.0,.282,3.0,4.8,.615,,1.0,3.1,10.8
1947-48,25,"Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)","Did Not Play (other pro league—PBLA, ABL)"
1948-49,26,Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL)
1949-50,27,TOT,NBA,,8,,,0.4,1.9,.200,0.4,0.6,.600,,0.4,0.6,1.1
1949-50,27,BLB,NBA,,3,,,0.3,1.7,.200,0.7,1.0,.667,,0.3,1.7,1.3
1949-50,27,STB,NBA,,5,,,0.4,2.0,.200,0.2,0.4,.500,,0.4,0.0,1.0
Career,NA,,TOT,,68,,,3.5,12.5,.280,2.6,4.3,.614,,0.9,2.8,9.7
,NA,,BAA,,60,,,3.9,14.0,.282,3.0,4.8,.615,,1.0,3.1,10.8
,NA,,NBA,,8,,,0.4,1.9,.200,0.4,0.6,.600,,0.4,0.6,1.1
,NA,,,,,,,,,,,,,,,,
1 season,NA,TRH,BAA,,60,,,3.9,14.0,.282,3.0,4.8,.615,,1.0,3.1,10.8
1 season,NA,STB,NBA,,5,,,0.4,2.0,.200,0.2,0.4,.500,,0.4,0.0,1.0
1 season,NA,BLB,NBA,,3,,,0.3,1.7,.200,0.7,1.0,.667,,0.3,1.7,1.3
