,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2019-20,20,SAS,NBA,SF,9,92,,1%,64%,35%,,+10.6,+12.8,1,2,4,0,4,0,16,0,2
Career,,,NBA,,9,92,,1%,64%,35%,,+10.6,+12.8,1,2,4,0,4,0,16,0,2
