Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Lucious Harris,,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.3,1.1,0.8,0.6,0.4,NA,NA
Hubert Davis,89.0,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1,NA,NA
Chucky Atkins,88.5,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2,NA,NA,NA
Bimbo Coles,87.6,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0,0,-0.1
Rodney Stuckey,87.3,5,4.5,4,3.8,2.7,2.5,2.2,2,2,-0.1,NA,NA,NA,NA
Matt Guokas,86.9,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,NA,NA,NA,NA
Bill Hanzlik,86.5,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1,0.7,NA,NA,NA,NA
Don Ohl,86.4,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8,NA,NA,NA,NA
Ricky Sobers,86.3,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1,NA,NA,NA
Jodie Meeks,86.2,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1,NA,NA,NA,NA
Tyreke Evans,86.1,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3,NA,NA,NA,NA
