Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Othyus Jeffers,,0.7,0.1,0.1,NA,NA
Tom Ingelsby,91.1,0.7,0.1,0,NA,NA
Clay Johnson,76.9,0.6,0.1,0,NA,NA
Carl Thomas,74.2,0.7,0,0,NA,NA
Archie Goodwin,72.8,0.7,0.2,0.2,0.1,NA
Connie Norman,66.8,0.8,0.2,0.2,NA,NA
Gus Bailey,65.6,0.5,0.2,0.2,0,0
Phil Pressey,64.3,0.8,0.1,-0.1,NA,NA
Sam Jacobson,64.2,0.9,0.2,0,NA,NA
Paul McCracken,60.1,0.5,0,0,NA,NA
Terry Duerod,56.5,0.7,0.2,0.2,-0.2,NA
