Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mitchell Wiggins,,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA
Malik Sealy,85.8,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA
Marcus Smart,85.4,5.3,3.2,2.9,2.9,1.9,NA,NA,NA,NA
Dean Meminger,84.8,5,4.4,3.9,2.2,1,0.2,NA,NA,NA
Al Skinner,84.8,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA
Scott Burrell,84.3,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA
Randy Wittman,84.2,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0
Luther Head,83.8,5.7,3.5,3.5,0.9,0.6,0.6,NA,NA,NA
Kenny Sailors,83.6,5.2,4.9,3.7,1.7,1.6,NA,NA,NA,NA
Ron Brewer,83.1,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA
Tyler Johnson,82.7,5.8,4.2,2.3,2,0.8,NA,NA,NA,NA
