Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mitchell Wiggins,,5.4,3.5,3.3,2,1.2,-0.1
Chico Vaughn,89.1,4.9,3.4,3.4,2.3,0.8,0.4
Darnell Valentine,88.9,5,3.7,3.4,1.7,1.1,1
Johnny Egan,88.3,5.1,3.6,3.2,3.1,1.3,0
J.R. Smith,87.6,5.8,3.7,3.7,2.7,1.2,0.2
Luke Ridnour,87.1,5.4,4.4,3.4,2.3,1.2,0.9
Steve Blake,86.9,5.8,3.8,2.8,2.1,0.7,0.3
Ron Brewer,86.9,5.6,4.3,3.3,1.6,1.4,0.3
Eric Snow,86.8,6.1,3.8,3.8,1.9,1.3,0.5
Jerry Sichting,86.6,5.2,4.2,3.5,2.7,1.1,0.3
Lionel Hollins,86.2,5.2,4,2.9,2.3,1.8,0.1
