Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Oliver Miller,,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0
Bob Ferry,87.2,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8
Bismack Biyombo,86.1,5.9,4,3.2,2.9,2.9,2,1.4,0.6,NA
Blair Rasmussen,85.7,5.2,4.2,3.3,3,1.8,1.7,0,-0.1,NA
Randy Breuer,85.6,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3
Ian Mahinmi,85.3,6.2,3.4,3.3,2.3,2.1,1.8,1.4,0.7,0.2
John Henson,84.3,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA,NA
JaVale McGee,84.3,5.3,4.9,4.1,3.5,2.1,2,1.1,0.4,-0.1
Kurt Nimphius,83.2,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA
Jim Davis,82.6,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,NA
Dennis Awtrey,82.2,5.2,5,3.1,2.1,1.8,1.4,1,1,0.7
