Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Smush Parker,,5.8,2.3,0.1,-0.1,-0.6
Walt Kirk,77.9,5,2.3,0.4,NA,NA
Buddy Hield,73.5,5.9,2.8,1.3,NA,NA
Mike Barrett,71.1,4.9,2.7,-0.1,NA,NA
Michael Dickerson,70.2,5.5,2.2,1.8,0.1,-0.1
Mel Riebe,65.8,4.2,2.2,0,NA,NA
Terry Rozier,65.6,5.6,3.2,1.4,-0.3,NA
Joe Harris,62.9,5.5,4,0.8,0.2,0
Earl Tatum,62.2,4.4,2.6,0.7,0,NA
Don Carlson,61.4,5.8,2.8,2.6,0.2,NA
D'Angelo Russell,61.3,5,1.3,0.4,0,NA
