Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Brian Cook,,4.5,2,1.8,1.1,0.6,0.4,0,-0.1,-0.2
Alex Hannum,87.7,5.1,2.1,1.7,1.6,0.5,0.4,NA,NA,NA
Kyle Singler,85.5,4.4,2.3,2,1.1,0.3,0,NA,NA,NA
Jason Kapono,83.5,4.2,1.9,1.3,1.2,0.8,0.5,0.5,0.1,-0.2
Gus Gerard,82.3,4.3,1.9,1.5,1.3,1.3,0.5,0.3,NA,NA
Anthony Bonner,81.0,4.1,2.4,1.8,1.6,0.7,0,NA,NA,NA
Carl Herrera,78.9,4.6,2.1,2,0.5,0.1,0.1,-0.2,-0.3,NA
Nemanja Bjelica,78.7,4.5,2.8,1.9,1.5,NA,NA,NA,NA,NA
Boštjan Nachbar,78.6,4.1,2.2,1.7,0.8,0.1,-0.1,NA,NA,NA
Darren Daye,78.5,3.8,2.4,1.3,1.2,0.6,NA,NA,NA,NA
Jon Leuer,76.9,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA
