,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2003-04,23,LAL,NBA,C,35,442,.475,12.8,.965,.220,.078,.213,.454,.035,.493,.677,.273,.433,.469,.000,.821,.064,8,,.200,.000,0,0
2004-05,24,LAL,NBA,C,72,1087,.417,17.9,.528,.171,.038,.085,.235,.472,.439,.528,.438,.417,.384,.392,.745,.019,7,.974,.171,.294,0,0
2005-06,25,LAL,NBA,PF,81,1535,.511,14.1,.836,.249,.057,.131,.399,.164,.527,.591,.517,.418,.525,.429,.764,.057,25,1.000,.071,.333,1,0
2006-07,26,LAL,NBA,PF,65,1018,.453,15.7,.718,.194,.056,.159,.309,.282,.474,.481,.478,.523,.444,.400,.698,.015,5,1.000,.130,.400,0,0
2007-08,27,TOT,NBA,PF,51,629,.376,17.7,.509,.171,.090,.081,.167,.491,.378,.400,.286,.368,.410,.374,.489,.004,1,.953,.009,.000,0,0
2007-08,27,LAL,NBA,PF,6,70,.190,15.3,.524,.190,.190,.095,.048,.476,.182,.000,.000,.500,1.000,.200,.500,.000,0,1.000,.000,,0,0
2007-08,27,ORL,NBA,PF,45,559,.394,18.0,.507,.169,.080,.080,.178,.493,.398,.444,.353,.353,.395,.390,.488,.005,1,.951,.010,.000,0,0
2008-09,28,TOT,NBA,PF,30,171,.368,17.3,.605,.171,.053,.092,.289,.395,.326,.231,.500,.429,.318,.433,.400,.026,1,1.000,.000,,0,0
2008-09,28,ORL,NBA,PF,21,146,.383,18.1,.583,.150,.033,.117,.283,.417,.343,.222,.500,.429,.353,.440,.500,.000,0,1.000,.000,,0,0
2008-09,28,HOU,NBA,PF,9,25,.313,14.2,.688,.250,.125,.000,.313,.313,.273,.250,.500,,.200,.400,.000,.125,1,1.000,.000,,0,0
2009-10,29,HOU,NBA,PF,15,44,.304,15.7,.609,.261,.000,.174,.174,.391,.357,.667,,.250,.000,.222,.600,.043,1,1.000,.000,,0,0
2010-11,30,LAC,NBA,PF,40,447,.424,17.5,.535,.159,.100,.100,.176,.465,.418,.667,.294,.176,.400,.430,.605,.029,5,.941,.089,.571,0,0
2011-12,31,TOT,NBA,PF,32,276,.316,18.9,.490,.163,.051,.061,.214,.510,.438,.625,.400,.000,.429,.200,.857,.020,2,1.000,.020,.000,0,0
2011-12,31,LAC,NBA,PF,16,121,.224,19.1,.449,.163,.041,.102,.143,.551,.273,.500,.000,.000,.286,.185,1.000,.000,0,1.000,.037,.000,0,0
2011-12,31,WAS,NBA,PF,16,155,.408,18.7,.531,.163,.061,.020,.286,.469,.577,.750,.667,.000,.500,.217,.800,.041,2,1.000,.000,,0,0
Career,,,NBA,,421,5649,.439,16.1,.671,.197,.060,.120,.292,.329,.467,.543,.405,.414,.452,.382,.718,.030,55,.977,.095,.338,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,LAL,NBA,,259,4152,.461,15.5,.725,.208,.055,.133,.329,.275,.487,.550,.434,.455,.470,.392,.750,.035,45,.988,.136,.321,1,0
2 seasons,,ORL,NBA,,66,705,.392,18.0,.524,.165,.070,.088,.201,.476,.385,.400,.368,.375,.382,.400,.491,.004,1,.962,.008,.000,0,0
2 seasons,,LAC,NBA,,56,568,.379,17.8,.516,.160,.087,.100,.169,.484,.389,.629,.263,.136,.378,.368,.659,.023,5,.949,.075,.500,0,0
2 seasons,,HOU,NBA,,24,69,.308,15.1,.641,.256,.051,.103,.231,.359,.320,.500,.500,.250,.111,.286,.375,.077,2,1.000,.000,,0,0
1 season,,WAS,NBA,,16,155,.408,18.7,.531,.163,.061,.020,.286,.469,.577,.750,.667,.000,.500,.217,.800,.041,2,1.000,.000,,0,0
