Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tiago Splitter,,8.2,4.6,4.3,4,2.3,1.7,0.1
Dennis Scott,88.1,8.8,5,4.6,3.8,2.8,2.6,0.7
Jeff Foster,87.9,8.3,5.7,5.4,4.2,2.7,1.6,0.6
George Carter,86.5,6.4,4.4,4.2,4.1,2.9,2.2,0
Johnny Newman,85.5,6.7,4.5,4.1,3.7,3.1,2.3,0.3
Donyell Marshall,85.0,8.5,4.2,3.8,3,1.3,1.3,0.3
Les Hunter,84.4,8.4,5.6,4.9,2.7,2.2,2.1,-0.5
Adam Keefe,84.2,6.5,4.6,4.1,3.3,2.3,1.7,1.4
Joe Caldwell,84.0,7.9,6.7,3.7,3.3,2.3,2,0.3
Markieff Morris,83.6,6.4,4.6,4.1,3.3,1.7,1.5,0.5
Phil Hubbard,83.2,5.7,4.6,4.5,3.4,2.6,1.6,0.2
