Season,Team,Lg,Salary
1991-92,New York Knicks,NBA,"$865,000"
1992-93,New York Knicks,NBA,"$1,067,000"
1993-94,New York Knicks,NBA,"$1,269,000"
1994-95,New York Knicks,NBA,"$1,471,000"
1995-96,Vancouver Grizzlies,NBA,"$1,673,000"
1996-97,Vancouver Grizzlies,NBA,"$1,875,000"
1997-98,Seattle SuperSonics,NBA,"$272,250"
1998-99,Portland Trail Blazers,NBA,"$1,000,000"
1999-00,Portland Trail Blazers,NBA,"$1,100,000"
2000-01,Portland Trail Blazers,NBA,"$3,500,000"
2001-02,Chicago Bulls,NBA,"$3,000,000"
2002-03,Chicago Bulls,NBA,"$1,500,000"
Career,(may be incomplete),,"$18,592,250"
