Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Greg Anthony,,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1
Jarrett Jack,94.6,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9
Eric Gordon,94.4,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7
Chris Ford,91.5,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,NA
Ricky Sobers,90.5,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1
Tony Allen,90.0,5.1,4.7,4.2,4.1,2.7,2.7,2.7,1.9,1.9,1.7,1.6
Raymond Felton,89.3,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,1.7,0.2
Derek Fisher,89.3,5.8,5.5,5.2,3.9,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Spud Webb,88.9,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3,2.3,2.2,1.2
Sherman Douglas,88.7,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,0.6,-0.1
T.R. Dunn,88.7,4.9,4.4,4.4,4.1,4,3.7,3.3,3.2,2.4,1.6,1.6
