Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Glen Davis,,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA
Andrea Bargnani,89.7,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,NA
Kyle O'Quinn,89.6,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA,NA
Derek Strong,88.8,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0,NA
David Benoit,88.7,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA,NA
Tony Campbell,87.9,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
Donald Royal,86.3,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA
Jeff Cook,85.4,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA,NA
Michael Beasley,84.8,4.6,3.4,2.4,1.8,1.7,1.6,1,0.5,0.2,-0.1,-1.5
Stromile Swift,84.5,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA,NA
Jason Maxiell,84.4,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,NA
