,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2009-10,22,CHI,NBA,PF,4,20,,,38%,55%,8%,-24.1,-14.8,1,0,4,0,0,0,3,0,1
2013-14,26,MEM,NBA,SF,3,28,,,49%,51%,,-17.6,-13.4,0,0,2,0,5,1,0,1,3
2014-15,27,TOR,NBA,PF,2,12,,,16%,68%,16%,-39.1,-25.3,0,0,0,0,3,0,2,0,0
2015-16,28,TOR,NBA,PF,10,98,,,3%,60%,37%,-13.2,-8.7,1,3,7,2,1,0,15,1,1
2017-18,30,MIA,NBA,PF,5,161,,,,98%,2%,-11.6,-4.4,5,3,6,0,7,1,57,1,3
Career,,,NBA,,24,319,,,8%,78%,14%,-14.4,-7.9,7,6,19,2,16,2,77,3,8
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,TOR,NBA,,12,110,,,5%,61%,35%,-16.0,-10.5,1,3,7,2,4,0,17,1,1
1 season,,MIA,NBA,,5,161,,,,98%,2%,-11.6,-4.4,5,3,6,0,7,1,57,1,3
1 season,,CHI,NBA,,4,20,,,38%,55%,8%,-24.1,-14.8,1,0,4,0,0,0,3,0,1
1 season,,MEM,NBA,,3,28,,,49%,51%,,-17.6,-13.4,0,0,2,0,5,1,0,1,3
