Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
James Johnson,,5.1,5,4.1,3,2.6,1.5,1.3,0.8,0.6,-0.5
Kris Humphries,89.5,5.4,5.3,4.1,2.7,1.9,1.8,1.5,0.7,0.2,-0.3
Luc Mbah a Moute,87.7,4.8,4.7,4,3.1,2.8,2.4,1.6,1.1,1,0.5
Phil Jackson,87.6,5.6,4.8,4.2,3.2,2.5,2.5,1.7,0.9,0.8,0.5
Luke Jackson,87.1,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,NA,NA
Aaron Williams,86.2,5.2,5,4.8,3.7,3.4,1.7,1.1,1.1,-0.1,-0.1
Eduardo Nájera,85.6,4.8,4.1,4,4,2.7,1.6,1.1,1.1,0.8,0.1
Chris Wilcox,85.4,6,4.4,3.4,2.8,2.6,1.3,1.3,1.1,0.6,0.2
Adam Keefe,85.3,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA
Brandan Wright,85.2,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7
Ken Norman,84.7,5.2,4.8,4,4,3.2,2.9,1.9,1.1,0.6,-0.6
