Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kristaps Porziņģis,,4.5,4.4,3.2,NA,NA,NA,NA
George Stone,86.6,4.6,4.6,4.5,0.2,NA,NA,NA
Leo Barnhorst,84.8,4.7,4.6,3.6,1.3,NA,NA,NA
Sly Williams,83.5,5.1,4.2,3.8,0.5,-0.1,-0.1,-0.2
Leonard Gray,81.3,4.1,4,1.8,NA,NA,NA,NA
Dino Rađa,80.6,5.9,4.5,4,-0.2,NA,NA,NA
Richaun Holmes,79.2,4.3,3.8,2.8,1.5,NA,NA,NA
Chuck Gilmur,78.7,4.6,4.5,4.3,1.7,-0.1,NA,NA
Willie Murrell,77.6,7,4.6,3.1,NA,NA,NA,NA
Leon Powe,76.9,4.9,4.3,1.7,0.6,0.5,NA,NA
Larry McNeill,76.1,4.4,4.3,2.3,1.5,0.7,0.1,NA
