,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,27,CHS,BAA,,11,,9,,,,,29
1947-48,28,TOT,BAA,,9,,8,,,,,21
1947-48,28,CHS,BAA,,4,,2,5,,,,9
1947-48,28,PHW,BAA,,9,,8,,,,,21
1948-49,29,TOT,BAA,,9,,9,12,,,,24
1948-49,29,BOS,BAA,,7,,9,11,,,,23
1948-49,29,PRO,BAA,,9,,8,12,,,,24
1949-50,30,WSC,NBA,,5,,9,11,,,,13
1950-51,31,TOT,NBA,,6,,7,,,,,17
1950-51,31,WSC,NBA,,6,,7,,,,,17
1950-51,31,BLB,NBA,,6,,7,10,,,,16
Career,,,TOT,,11,,9,,,,,29
,,,NBA,,6,,9,,,,,17
,,,BAA,,11,,9,,,,,29
,,,,,,,,,,,,
2 Seasons,,WSC,NBA,,6,,9,,,,,17
2 Seasons,,CHS,BAA,,11,,9,,,,,29
1 Season,,PHW,BAA,,9,,8,,,,,21
1 Season,,BLB,NBA,,6,,7,10,,,,16
1 Season,,BOS,BAA,,7,,9,11,,,,23
1 Season,,PRO,BAA,,9,,8,12,,,,24
