Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Chick Halbert,,7.4,3.6,3.3,2.9,NA
Roy Tarpley,88.8,7.8,3.5,3.1,2,0.6
Bill McGill,86.4,7.1,4.6,3.1,2.2,-0.1
Tony Battie,85.3,6.2,3.8,3.3,2.3,0.5
Chris Kaman,83.3,6.1,3.6,2.9,2.1,0
Marcin Gortat,81.0,7.6,6.4,3.4,3.3,0.1
George Johnson,78.7,5,3.6,3.5,3.4,0.3
Marvin Webster,78.2,8.7,3.9,2.8,1.3,0.2
Rik Smits,77.4,6.6,4.3,3.4,2.9,2.7
Channing Frye,76.9,6.4,3.5,3.2,0.9,0.8
Rony Seikaly,76.5,6.5,6.2,3.2,3,-0.5
