Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Chick Halbert,,7.4,3.6,3.3,2.9,NA,NA,NA
Bill McGill,86.4,7.1,4.6,3.1,2.2,-0.1,NA,NA
Roy Tarpley,83.7,7.8,3.5,3.1,2.8,2,0.6,NA
Myles Turner,75.4,8,6.3,4.7,3.1,NA,NA,NA
Jusuf Nurkić,75.3,7.8,4.7,2,1.6,0.4,NA,NA
Kim Hughes,74.4,6.8,2.3,2.2,2.2,0.4,-0.1,NA
Tom Burleson,73.4,8.2,4.4,4.3,3.3,2.7,0.2,-0.1
Gheorghe Mureșan,72.6,8,5.3,4.1,1.3,0.3,-0.1,NA
Bob Houbregs,72.1,6.9,4.5,2.8,0.2,NA,NA,NA
Alex Len,70.8,4.5,3.4,3.2,3,1.3,0.2,NA
Dean Garrett,69.0,6.2,2.9,2.2,1.9,1,-0.1,NA
