,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,27,CHS,BAA,,8,,10,15,,,4,25
1947-48,28,TOT,BAA,,8,21,7,13,,1,6,20
1947-48,28,PHW,BAA,,8,21,7,13,,1,6,20
1949-50,30,WSC,NBA,,5,15,3,6,,3,6,13
Career,,,TOT,,8,,10,15,,,6,25
,,,NBA,,5,15,3,6,,3,6,13
,,,BAA,,8,,10,15,,,6,25
,,,,,,,,,,,,
1 Season,,PHW,BAA,,8,21,7,13,,1,6,20
1 Season,,CHS,BAA,,8,,10,15,,,4,25
1 Season,,WSC,NBA,,5,15,3,6,,3,6,13
