Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Walt Budko,,5.6,4,2.7,1.5
Gary Trent,95.7,5.5,4,3.1,1.7
Albert King,92.1,5.7,4.3,2.4,1.9
Monk Meineke,92.1,6.1,3.7,2.6,1.8
Gerald Govan,92.0,5.6,4.1,2.6,2.5
Aaron Gordon,91.5,5.4,3.7,2.9,1
Glen Davis,90.9,4.9,3.7,2.5,1.6
Tom Gugliotta,90.3,5.3,3.8,3.5,1.6
George Irvine,90.2,5.5,3.2,2.5,1.2
Junior Bridgeman,89.5,5.5,4,3.6,2.1
Michael Smith,89.4,5.4,3.7,3.1,2.1
