Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Walt Budko,,5.6,4,2.7,1.5,NA,NA
Dave Meyers,88.6,5,3.9,2.4,2.2,NA,NA
Monk Meineke,88.3,6.1,3.7,2.6,1.8,0.7,NA
Tom Boswell,88.2,5.6,3.7,2.7,2.4,0.6,0.2
Jamario Moon,86.7,5.7,4.9,2.9,1.1,-0.3,NA
Richaun Holmes,86.2,4.3,3.8,2.8,1.5,NA,NA
Ed Ratleff,85.9,5.6,4.5,2.1,1,0.5,NA
Travis Grant,82.7,5.6,4.1,1.5,0.5,NA,NA
Kyle Anderson,82.6,6.2,3.5,2.7,2.7,0.3,NA
Jim Baechtold,82.6,6,3.2,2.6,2.1,0.9,NA
Larry Nance,82.6,5.8,4.9,3.5,2.2,NA,NA
