Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dick Ricketts,,2,0.1,0,NA,NA,NA
Dean Tolson,96.7,2,0.2,0,NA,NA,NA
Alan Williams,84.7,2.1,0.2,0.2,0,NA,NA
Eric Moreland,80.8,2.3,0,0,0,NA,NA
Joe Roberts,79.2,1.9,0.2,0.2,0,NA,NA
J.J. Anderson,76.9,2.3,0.2,0.1,NA,NA,NA
Bill Bunting,71.4,2,0.7,0,NA,NA,NA
Red Morrison,71.2,1.7,0.5,0,NA,NA,NA
Perry Jones,68.5,1.5,0.2,0,NA,NA,NA
Brian Evans,67.6,1.5,0.1,0.1,NA,NA,NA
Linton Johnson,66.4,1.9,0.4,0.4,0,0,0
