,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1943-44,18,STJOHNS,16,,43,,,,20,,,,,,,,,106,,,,,6.6,,
1946-47,21,STJOHNS,21,,63,,,,37,,,,,,,,,163,,,,,7.8,,
1947-48,22,STJOHNS,22,,75,,,,72,115,,,,,,,,222,,,.626,,10.1,,
1948-49,23,STJOHNS,25,,121,,,,72,125,,,,,,,,314,,,.576,,12.6,,
Career,,,84,,302,,,,201,240,,,,,,,,805,,,.600,,9.6,,
