,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,23,NJN,NBA,C,17,227,.364,8.3,1.000,.424,.091,.303,.182,.000,.364,.429,.333,.500,.000,,.583,.121,3,,,,0,0
2002-03,24,NJN,NBA,C,20,529,.363,7.5,.978,.495,.132,.187,.165,.022,.371,.489,.250,.235,.267,.000,.576,.088,7,,.000,,1,0
2003-04,25,NJN,NBA,C,11,266,.368,6.4,1.000,.553,.053,.211,.184,.000,.368,.524,.000,.375,.000,,.571,.053,2,,,,0,0
2004-05,26,NJN,NBA,C,4,128,.235,12.6,1.000,.294,.000,.118,.588,.000,.235,.400,,.000,.200,,.500,.059,1,,,,0,0
2005-06,27,NJN,NBA,C,11,302,.360,10.0,1.000,.360,.080,.200,.360,.000,.360,.556,.500,.200,.222,,.778,.000,0,,,,0,0
2006-07,28,NJN,NBA,PF,12,329,.571,4.0,1.000,.667,.143,.095,.095,.000,.571,.714,.000,.500,.500,,.750,.143,2,,,,0,0
2009-10,31,ATL,NBA,C,3,10,.600,6.2,1.000,.600,.000,.200,.200,.000,.600,.667,,1.000,.000,,.667,.000,0,,,,0,0
2010-11,32,ATL,NBA,C,12,158,.643,7.0,1.000,.643,.000,.143,.214,.000,.643,.556,,1.000,.667,,.778,.071,1,,,,0,0
2011-12,33,ATL,NBA,C,5,85,.545,6.4,1.000,.545,.182,.091,.182,.000,.545,.667,.500,.000,.500,,.667,.091,1,,,,0,0
Career,,,NBA,,95,2034,.400,7.6,.992,.494,.094,.188,.216,.008,.403,.532,.250,.354,.218,.000,.637,.078,17,,.000,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,NJN,NBA,,75,1781,.373,7.8,.991,.480,.098,.196,.218,.009,.377,.519,.227,.318,.184,.000,.619,.080,15,,.000,,1,0
3 seasons,,ATL,NBA,,20,253,.600,6.6,1.000,.600,.067,.133,.200,.000,.600,.611,.500,.750,.500,,.722,.067,2,,,,0,0
