Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jason Collins,,4.9,4.7,3.9,3,2,0.6,0.6,0.4,0.2,0.1,0.1,-0.1,-0.2
Kevin Kunnert,85.1,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA,NA,NA
Randy Denton,83.6,5.5,4.3,3.9,3.1,3,0.4,NA,NA,NA,NA,NA,NA,NA
Tim McCormick,83.3,6,4.6,3.9,3.8,2,1.1,0.2,-0.1,NA,NA,NA,NA,NA
Dewayne Dedmon,82.5,5.2,4,3.7,2.4,1.7,0.6,NA,NA,NA,NA,NA,NA,NA
Nerlens Noel,80.8,4.3,4,4,3,1.3,NA,NA,NA,NA,NA,NA,NA,NA
Randy Breuer,80.6,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3,0.1,0,NA,NA
Blair Rasmussen,80.4,5.2,4.2,3.3,3,1.8,1.7,0,-0.1,NA,NA,NA,NA,NA
Nenad Krstić,79.8,5.4,4.4,4.2,4,1.9,1.7,-0.1,NA,NA,NA,NA,NA,NA
Kurt Nimphius,79.7,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA,NA,NA,NA,NA
Joel Przybilla,79.4,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0
