Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,MIL,NBA,PF,79,NA,2207,4.5,10,0.45,1.5,2.5,0.587,NA,NA,13.1,2.2,NA,NA,4.3,10.5
1969-70,23,MIL,NBA,PF,82,NA,2368,5.2,10.1,0.511,1.9,2.6,0.718,NA,NA,10.8,2.4,NA,NA,4.6,12.2
1970-71,24,MIL,NBA,PF,82,NA,2428,6.1,11.8,0.512,2.1,3.2,0.662,NA,NA,8.7,3.4,NA,NA,4.2,14.2
1971-72,25,TOT,NBA,SF,82,NA,2256,4.9,10.7,0.461,1.8,2.7,0.661,NA,NA,7.7,3.5,NA,NA,4.1,11.6
1971-72,25,MIL,NBA,SF,28,NA,737,4.7,9.7,0.49,2,2.8,0.707,NA,NA,7.9,3.1,NA,NA,4.5,11.5
1971-72,25,HOU,NBA,SF,54,NA,1519,5,11.2,0.448,1.7,2.6,0.636,NA,NA,7.6,3.8,NA,NA,4,11.7
1972-73,26,TOT,NBA,SF-PG,76,NA,1610,5.2,10.8,0.482,1.7,2.9,0.586,NA,NA,8.6,2.7,NA,NA,4.9,12.1
1972-73,26,HOU,NBA,PG,4,NA,41,4.4,14,0.313,0,0,NA,NA,NA,7,4.4,NA,NA,7,8.8
1972-73,26,POR,NBA,SF,72,NA,1569,5.3,10.8,0.488,1.7,2.9,0.586,NA,NA,8.6,2.7,NA,NA,4.8,12.2
1973-74,27,POR,NBA,SF,67,NA,878,4.1,9.3,0.434,2,3.2,0.608,2.7,5.1,7.7,3.2,1.7,0.2,5.2,10.1
1974-75,28,POR,NBA,SF,55,NA,519,4.9,10.1,0.486,2.2,3.3,0.667,2,4.2,6.2,1.9,1.5,0.4,6.7,12.1
1975-76,29,POR,NBA,SF,1,NA,3,0,12,0,0,0,NA,0,0,0,0,0,0,24,0
Career,NA,,NBA,,524,NA,12269,5.1,10.6,0.482,1.8,2.8,0.646,2.4,4.7,9.5,2.8,1.6,0.3,4.6,12
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,MIL,NBA,,271,NA,7740,5.2,10.6,0.493,1.9,2.8,0.663,NA,NA,10.5,2.7,NA,NA,4.4,12.3
4 seasons,NA,POR,NBA,,195,NA,2969,4.8,10.2,0.473,1.9,3.1,0.608,2.4,4.7,7.9,2.7,1.6,0.3,5.3,11.6
2 seasons,NA,HOU,NBA,,58,NA,1560,5,11.3,0.444,1.6,2.5,0.636,NA,NA,7.6,3.8,NA,NA,4,11.6
