,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,MIL,NBA,,8,,6,7,,,,,,,,22
1969-70,23,MIL,NBA,,12,,7,10,,,,,,,,26
1970-71,24,MIL,NBA,,12,,12,17,,,,,,,,26
1971-72,25,TOT,NBA,,10,,6,8,,,,,,,,23
1971-72,25,MIL,NBA,,8,,5,8,,,,,,,,17
1971-72,25,HOU,NBA,,10,,6,7,,,,,,,,23
1972-73,26,TOT,NBA,,9,,5,7,,,,,,,,20
1972-73,26,HOU,NBA,,3,,0,0,,,,,,,,6
1972-73,26,POR,NBA,,9,20,5,7,,,12,5,,,6,20
1973-74,27,POR,NBA,,5,12,5,9,4,6,8,4,3,2,6,12
1974-75,28,POR,NBA,,6,10,4,6,3,7,7,3,5,1,6,16
1975-76,29,POR,NBA,,0,1,0,0,0,0,0,0,0,0,2,0
Career,,,,,12,,12,17,,,,,,,,26
4 Seasons,,MIL,NBA,,12,,12,17,,,,,,,,26
4 Seasons,,POR,NBA,,9,20,5,9,,,12,5,,,6,20
2 Seasons,,HOU,NBA,,10,,6,7,,,,,,,,23
