Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Greg Smith,,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0,NA,NA,NA,NA
Bison Dele,85.7,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA,NA
Joe Ingles,85.2,7.6,6,5,2.3,2.2,NA,NA,NA,NA,NA,NA,NA
Tracy Murray,83.8,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
Dick Schnittker,83.8,6.2,5.3,3.5,2.8,2.6,1.6,NA,NA,NA,NA,NA,NA
Bill Robinzine,83.7,6.9,5.5,3.4,3,2.4,2.3,-0.2,NA,NA,NA,NA,NA
Pervis Ellison,83.4,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0,NA
Reggie King,82.8,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA,NA,NA,NA,NA
John Williams,82.8,6.9,5,3.5,1.9,1.3,1,0.8,-0.5,NA,NA,NA,NA
Buck Johnson,82.5,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA,NA
Rich Jones,81.9,6.6,6.3,5.8,1.9,1.8,1.5,0.6,0.2,NA,NA,NA,NA
