Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Greg Smith,,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0
Dave Gambee,89.1,7,5.3,4.6,3.3,2.2,1.6,0,NA
DeMarre Carroll,88.6,7,5.8,3.8,3.1,1.2,0.5,0.5,0.1
Pervis Ellison,88.3,6.9,4,3.9,2.6,1.8,0.7,0.4,0
Tracy Murray,87.4,6.5,4.9,4.4,3.8,2.2,0.5,0.5,0.3
Bison Dele,85.7,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2
Joe Ingles,85.2,7.6,6,5,2.3,2.2,NA,NA,NA
Brandan Wright,84.5,6.1,5.1,4.1,3.5,1.9,1.1,0.8,0.7
Bruce Bowen,83.9,5.4,5.1,4.2,2.2,1.9,1.2,0,0
Dick Schnittker,83.8,6.2,5.3,3.5,2.8,2.6,1.6,NA,NA
Bill Robinzine,83.7,6.9,5.5,3.4,3,2.4,2.3,-0.2,NA
